info,question,best_guess_label,parent_label
break_2768,what were leonardo da vinci's art styles?,qualitative_property_retrieval,retrieval
break_2769,what art style did leonardo da vinci do?,qualitative_property_retrieval,retrieval
break_2770,what was the names of mariah carey twins?,qualitative_property_retrieval,retrieval
break_2771,what didmariah carey name her twins?,qualitative_property_retrieval,retrieval
break_2773,what did emily bronte die of?,qualitative_property_retrieval,retrieval
break_2776,what does estonia speak?,qualitative_property_retrieval,retrieval
break_2777,what year did berlie doherty write street child?,datetime_retrieval,retrieval
break_2778,when did berlie dorhety write street child?,datetime_retrieval,retrieval
break_2779,which mountain range separates europe from asia?,qualitative_property_retrieval,retrieval
break_2780,what range separates europe and asia?,qualitative_property_retrieval,retrieval
break_2781,where did larry bird coach?,qualitative_property_retrieval,retrieval
break_2782,in drake and josh who played mindy crenshaw?,qualitative_property_retrieval,retrieval
break_2783,who was the first manager for liverpool fc?,superlative,comparison
break_2784,what is the country that borders colombia and costa rica?,set_intersection,comparison
break_2785,where did brandon marshall go to college?,qualitative_property_retrieval,retrieval
break_2786,who won the popular vote in 2000 presidential election?,qualitative_property_retrieval,retrieval
break_2787,what are shaquilles kids names?,qualitative_property_retrieval,retrieval
break_2788,what is the highest elevation of massachusetts?,superlative,comparison
break_2790,the amazon river in south america flows in what direction?,qualitative_property_retrieval,retrieval
break_2791,what musicians have died in 2007?,set_property_satisfaction,comparison
break_2792,who did frank sinatra marry?,qualitative_property_retrieval,retrieval
break_2793,where did nadia comaneci go to elementary school?,qualitative_property_retrieval,retrieval
break_2794,population of students at yale university?,numeric_retrieval,retrieval
break_2795,what is the students population at yale university?,numeric_retrieval,retrieval
break_2797,when did emily dickinsons father die?,datetime_retrieval,retrieval
break_2798,what is only country to border portugal?,qualitative_property_retrieval,retrieval
break_2799,what is the zip code of san francisco ca?,numeric_retrieval,retrieval
break_2800,what is the biggest mountain?,superlative,comparison
break_2801,when did ww1 take place?,datetime_retrieval,retrieval
break_2802,who were first people to land on moon?,set_retrieval,retrieval
break_2803,name two countries that border china on the northeast?,qualitative_property_multihop_retrieval,retrieval
break_2804,what countries border china on the northeast?,qualitative_property_multihop_retrieval,retrieval
break_2807,when was st maria goretti born?,datetime_retrieval,retrieval
break_2809,who played shirley on the show shirley?,qualitative_property_multihop_retrieval,retrieval
break_2810,what position does rooney play for england football team?,qualitative_property_multihop_retrieval,retrieval
break_2826,explain the origin of indus river?,causal_explanation,open_ended
break_2827,what sea is between england and norway?,set_property_satisfaction,comparison
break_2828,what body of water was between england and norway?,set_property_satisfaction,comparison
break_2829,body of water between norway and england?,set_property_satisfaction,comparison
break_2830,what is orlando blooms date of birth?,datetime_retrieval,retrieval
break_2831,when did arkansas becomes the twenty-fifth state?,datetime_retrieval,retrieval
break_2832,who was louis armstrong's children?,qualitative_property_retrieval,retrieval
break_2836,what body of water lies between italy and yugoslavia?,set_property_satisfaction,comparison
break_2837,what was willow smith first song?,superlative,comparison
break_2839,when did canada join the unite nations?,datetime_retrieval,retrieval
break_2840,when did jane seymour die in tudor times?,datetime_retrieval,retrieval
break_2872,what is capital of new york?,qualitative_property_retrieval,retrieval
break_2921,which country is in both asia and africa?,set_intersection,comparison
break_2925,what is population in timbuctu today?,numeric_retrieval,retrieval
break_2929,which country has the most population?,superlative,comparison
break_2930,which country has the most population in the whole wide world?,superlative,comparison
break_2938,which island has over 60 percent of indonesia's population?,set_property_satisfaction,comparison
break_2944,what is the highest mountain in the us?,superlative,comparison
break_2959,what are the three biggest cities in rhode island?,superlative,comparison
break_2960,what are three biggest cities in rhode island?,superlative,comparison
break_2973,when did the first movie of star wars come out?,datetime_retrieval,retrieval
break_2974,when did denzel washington win his first oscar?,datetime_retrieval,retrieval
break_2975,what is the deepest lake in the united states?,superlative,comparison
break_2979,what is the name of the highest mountain in nepal?,superlative,comparison
break_2987,when is jason earls birthday?,datetime_retrieval,retrieval
break_2988,what is africas largest mountain ranges?,superlative,comparison
break_2989,what team won back to back nba championships in 1989 and 1990?,qualitative_property_retrieval,retrieval
break_2990,what nba team won the back to back championship in 1989 and 1990?,qualitative_property_retrieval,retrieval
break_2991,where was hinduism begin?,qualitative_property_retrieval,retrieval
break_2992,which city was rebuilt after 1871 fire?,qualitative_property_retrieval,retrieval
break_2993,when will bioshock infinit come out?,datetime_retrieval,retrieval
break_2994,what sea separates atlaska and russia?,qualitative_property_retrieval,retrieval
break_2995,which sea separates southwestern alaska from russia?,qualitative_property_retrieval,retrieval
break_2996,what is trinidad and tobagos official language?,qualitative_property_retrieval,retrieval
break_2997,what is the largest city in alaska?,superlative,comparison
break_2998,this country separates pakistan and russia?,qualitative_property_retrieval,retrieval
break_3054,what time zone is phoenix arizona?,qualitative_property_retrieval,retrieval
break_3055,worlds highest mountain peak?,superlative,comparison
break_3056,what is the worlds highest mountain peak?,superlative,comparison
break_3058,when did napoleon become dead?,datetime_retrieval,retrieval
break_3060,what river flows through mali niger and nigeria?,set_intersection,comparison
break_3156,what is sean paul?,definitional,definitional
break_3286,what is the tallest masonry structure in the us?,superlative,comparison
break_3660,what is the biggest city in arizona,superlative,comparison
break_3661,which rivers run through the state with the largest city in the us ?,qualitative_property_retrieval,retrieval
break_3662,which states do colorado river flow through,qualitative_property_retrieval,retrieval
break_3663,what state has the largest population,superlative,comparison
break_3664,what is the lowest elevation in pennsylvania,superlative,comparison
break_3665,what is the highest point in each state whose lowest point is sea level,superlative,comparison
break_3666,what is the length of the longest river in the usa,numeric_retrieval,retrieval
break_3667,what is the longest river flowing through new york,superlative,comparison
break_3668,how many rivers are in new york,numeric_retrieval,retrieval
break_3669,what states neighbor maine,qualitative_property_retrieval,retrieval
break_3670,what texas city has the largest population,superlative,comparison
break_3671,what are major rivers in texas,qualitative_property_retrieval,retrieval
break_3672,how big is texas,numeric_retrieval,retrieval
break_3673,how many states border the state that borders the most states,numeric_retrieval,retrieval
break_3674,what state is dallas in,qualitative_property_retrieval,retrieval
break_3675,how big is new mexico,numeric_retrieval,retrieval
break_3676,what is the population of the state with the largest area,numeric_retrieval,retrieval
break_3677,how many people live in chicago,numeric_retrieval,retrieval
break_3678,what is the smallest city in arkansas,superlative,comparison
break_3710,What Tibetan speaking countries have a population of less than 993885000?,set_intersection,comparison
break_3711,"What country uses Tibetan that has Anren Town , Sichuan?",set_intersection,comparison
break_3712,What is the most common language in the country where Jamaican English is spoken?,superlative,comparison
break_3713,What language is spoken in the country that uses the Jamacian Dollar?,qualitative_property_multihop_retrieval,retrieval
break_3714,Where did George Washington Carver go to school with the largest number of postgraduates?,qualitative_property_multihop_retrieval,retrieval
break_3715,"What university, with 1979 undergrads, was the alma mater of George Washington Carver?",qualitative_property_retrieval,retrieval
break_3716,What college did the President who attended Minneapolis High School go to?,qualitative_property_multihop_retrieval,retrieval
break_3717,What educational institution that has a men's basketball sports team  named Iowa State Cyclones did George Washington Carver go to college?,qualitative_property_multihop_retrieval,retrieval
break_3718,Which state houses the body of water under McClugage Bridge?,qualitative_property_retrieval,retrieval
break_3719,"What University did the author who published editions for, That was then, this is now, attend?",qualitative_property_multihop_retrieval,retrieval
break_3720,What inspired the architect who designed Casa Vicens?,qualitative_property_multihop_retrieval,retrieval
break_3721,"What did Nicolas Cage named his son, and is the actor that played in the film, Lord of War?",qualitative_property_multihop_retrieval,retrieval
break_3722,What currency is used in the place were the Chihuahua breed originated?,qualitative_property_multihop_retrieval,retrieval
break_3723,What currency does the place that the Federal government of Mexico is located at use?,qualitative_property_multihop_retrieval,retrieval
break_3724,Provide the name of the governor of the state where the 1848 Tampa Bay hurricane hit.?,qualitative_property_multihop_retrieval,retrieval
break_3833,What are the best sites to see and the population in madrid?,qualitative_property_retrieval,retrieval
break_3834,What sights can we see in Pinar de Chamarin?,qualitative_property_retrieval,retrieval
break_3835,What sights in Madrid are exhibition venues that opened before 3 February 2009?,set_union,comparison
break_3836,Who is the leader of France 2012 and was born on 1954-08-12?,qualitative_property_multihop_retrieval,retrieval
break_3837,Who is the leader of the government where Michel Goudchax was an office holder in 2012?,qualitative_property_multihop_retrieval,retrieval
break_3838,Who is the Leader of Country where the First Valls 2012 legislative session was held?,qualitative_property_multihop_retrieval,retrieval
break_3839,"Find the location of the film Amen, who was the leader of that location in 2012?",qualitative_property_multihop_retrieval,retrieval
break_4185,"Which side suffered more casualties, the Federales or the Americans?",numeric_comparison,comparison
break_4186,"How many total people were killed, captured and were listed as casualties?",arithmetic,math
break_4187,What happened first: Battle of Carrizal or prisoners were repatriated?,datetime_comparison,comparison
break_4188,How many years after Nyaungyan captured Nyaungshwe did the capture Mone?,mathematical_comparison,comparison
break_4189,How many years after capturing Nyaungshwe did Nyaungyan capture the large strategic Shan state of Mone?,mathematical_comparison,comparison
break_4190,How many years passed between Nyaungyan consolidating his holdings and his declaring of himself king?,mathematical_comparison,comparison
break_4191,How many cities did Nyaungyan try to reclaim?,numeric_retrieval,retrieval
break_4192,How many years after Pegu fell did the king die?,mathematical_comparison,comparison
break_4193,When did  Naresuan of Siam die?,datetime_retrieval,retrieval
break_4199,What happened first: China launched four invasions or a truce?,datetime_comparison,comparison
break_4200,"Which event happened first, the invasion of Burma, or a truce?",datetime_comparison,comparison
break_4201,Which Chinese invasion got the furthest into Burma?,numeric_comparison,comparison
break_4206,How many years passed between the raiding of Kengtung and the Siamese forces withdrawing to the border?,mathematical_comparison,comparison
break_4227,Give the population difference before and after the war?,mathematical_comparison,comparison
break_4231,How many more people lived in Peloponnese pre-war compared to the population after the war?,mathematical_comparison,comparison
break_4233,How many people  less were there in the peninsula after the war?,mathematical_comparison,comparison
break_4237,How many people did the insurgents demand the surrender of?,numeric_retrieval,retrieval
break_4636,Where there more households with POSSLQ or those with same-sex partnerships?,numeric_comparison,comparison
break_4637,How many percent are not same-sex partnerships?,arithmetic,math
break_4638,How many percent higher was the average family size compared to the average household size?,arithmetic,math
break_4639,Which household had the smallest percentage?,superlative,comparison
break_4640,How many more was the average household size than the family size?,arithmetic,math
break_4641,"How many more, in percentage, were households were non-families than were Marriage living together?",arithmetic,math
break_4642,How many more households had a female householder with no husband present compared to a  male householder with no wife present?,mathematical_comparison,comparison
break_4643,"How many more, in percentage, were households made up of were Marriage living together than had children under the age of 18 living with them?",arithmetic,math
break_4660,How many in percent in the county from the census of 2000 weren't polish?,arithmetic,math
break_4661,Which ancestral groups are smaller than 7%?,set_property_satisfaction,comparison
break_4663,Which groups are at least 30000 in size?,set_property_satisfaction,comparison
break_4991,Which groups are between 2000 and 3200 in size?,set_property_satisfaction,comparison
break_4992,Which ancestral group is larger: swedish or irish?,numeric_comparison,comparison
break_4993,Which ancestral group is larger: germans or swedish?,numeric_comparison,comparison
break_4995,Which groups are at least 3500 in size?,set_property_satisfaction,comparison
break_4996,How many more large bears are there in Sweden compared to Finland?,mathematical_comparison,comparison
break_5004,Which groups are between 4000 through 5800 in size?,set_property_satisfaction,comparison
break_5007,How many yards difference was Jay Cutler���s first touchdown pass compared to his second?,mathematical_comparison,comparison
break_5008,How many yards difference was Michael Pittman���s last touchdown run compared to his first?,mathematical_comparison,comparison
break_5009,How many yards longer was the longest field goal over the second longest?,mathematical_comparison,comparison
break_5010,Which player had the longest touchdown?,superlative,comparison
break_5011,Who completed the longest field goal?,superlative,comparison
break_5012,How many total yards did JaMarcus Russell's completed passes add up to?,arithmetic,math
break_5013,How many incomplete passes did JaMarcus Russell throw?,numeric_retrieval,retrieval
break_5014,How many field goals of 40 yards or more did Janikowski make?,set_property_satisfaction,comparison
break_5015,How many passes did JaMarcus Russell not complete?,numeric_retrieval,retrieval
break_5016,Which team got the ball first?,qualitative_property_retrieval,retrieval
break_5017,Who scored a touchdown from the farthest distance?,superlative,comparison
break_5200,How many total games did the Pacers play in the playoffs?,counting,math
break_5201,How many 41-yard field goals were made in the game?,counting,math
break_5202,How many 1-yard touchdown runs were made in the game?,counting,math
break_7258,How many singers do we have?,numeric_retrieval,retrieval
break_7259,What is the total number of singers?,numeric_retrieval,retrieval
break_7260,Show all countries and the number of singers in each country.,qualitative_property_retrieval,retrieval
break_7261,What is the name of the different car makers who produced a car in 1970?,qualitative_property_retrieval,retrieval
break_7262,Find the make and production time of the cars that were produced in the earliest year?,qualitative_property_retrieval,retrieval
break_7264,Which distinct car models are the produced after 1980?,set_property_satisfaction,comparison
break_7265,What are the different models for the cards produced after 1980?,set_property_satisfaction,comparison
break_7268,Which of the countries has the most car makers? List the country name.,superlative,comparison
break_7269,What is the name of the country with the most car makers?,superlative,comparison
break_7273,What is the accelerate of the car make amc hornet sportabout (sw)?,numeric_retrieval,retrieval
break_7274,How much does the car accelerate that makes amc hornet sportabout (sw)?,numeric_retrieval,retrieval
break_7275,How many car makers are there in france?,numeric_retrieval,retrieval
break_7276,What is the number of makers of care in France?,numeric_retrieval,retrieval
break_7277,How many car models are produced in the usa?,numeric_retrieval,retrieval
break_7278,What is the count of the car models produced in the United States?,counting,math
break_7279,What is the average miles per gallon(mpg) of the cars with 4 cylinders?,average,math
break_7280,What is the average miles per gallon of all the cards with 4 cylinders?,average,math
break_7290,What is the average weight of cars each year?,average,math
break_7291,What is the average weight and year for each year?,average,math
break_7292,Which countries in europe have at least 3 car manufacturers?,set_property_satisfaction,comparison
break_7294,What are the names of all European countries with at least 3 manufacturers?,set_property_satisfaction,comparison
break_7763,what is the median height in this classroom?,median,math
break_7764,what is the average flight length from california to new york?,average,math
break_7765,what is the mean flight length from california to new york?,average,math
break_7766,what is the standard deviation of the average time an individual spends on their laptop?,standard_deviation,math
break_7767,what is the average standard deviation of students height in different college campuses?,average,math
break_7768,what is the standard deviation of the second column in the dataset?,standard_deviation,math
break_7769,what is 2 plus 2?,arithmetic,math
break_7770,what is the sum of the polynomials?,arithmetic,math
break_7771,what do you get when you add 7 and 9?,arithmetic,math
break_7772,how many groups of 4 can you make out of the bag of marbles?,arithmetic,math
break_7773,how does the height of a student effect the likelihood they are on the basketball team?,correlation,math
break_7774,is the gpa of a student correlated with their future net worth?,correlation,math
break_7775,how many marbles are in the bag if you remove 11?,arithmetic,math
break_7776,what is 9 minus 7?,arithmetic,math
break_7777,what is the mean grade on the midterm?,average,math
break_7778,what is the standard deviation of the grades on the midterm?,standard_deviation,math
break_7779,what is the mode grade of the midterm?,mode,math
break_7780,"which is highest, the mean, median, or mode of the midterm?",superlative,comparison
break_7781,find the average of the first ten whole numbers?,average,math
break_7782,what is the mean of the following distrubution?,average,math
break_7783,is there more than one mode in this dataset?,boolean_retrieval,retrieval
break_7784,what is 9 times 10?,arithmetic,math
break_7785,what is 5 multiplied by 11?,arithmetic,math
break_7786,"if you are given a list of numbers, can you find the standard deviation?",boolean_retrieval,retrieval
break_7787,how many modes are there in this data set?,counting,math
break_7788,could there be more than one average in a dataset?,boolean_retrieval,retrieval
break_7789,what is the most common height in this dataset?,mode,math
break_7790,what is the difference between the number of red crayons and the number of blue crayons?,arithmetic,math
break_7791,how many conferences of 6 teams can you make out of the league of basketball teams?,arithmetic,math
break_7792,"what is the difference between mean, median and mode?",arithmetic,math
break_7793,what does median mean?,definitional,definitional
break_7794,what is 8 divided by 2?,arithmetic,math
break_7795,how many teams would there be if you quadrupled the current league?,arithmetic,math
break_7796,how many teams would there be if you divided the team in half?,arithmetic,math
break_7797,which is larger 9 plus 2 or 8 plus 4?,numeric_comparison,comparison
break_7798,what is the remainder of 45 divided by 7?,arithmetic,math
break_7799,"what operation comes first, multiplication or addition?",qualitative_property_retrieval,retrieval
break_7800,what is 5 plus 7 divided by 2?,arithmetic,math
break_7801,what is the variance of column 3 in the dataset?,standard_deviation,math
break_7802,what is the median test score?,median,math
break_7803,"which is larger, the median or the mode?",numeric_comparison,comparison
break_7804,what is the range of grades on the final?,range,math
break_7805,what is the difference between the best and worst grade on the final?,arithmetic,math
break_7806,is there a larger correlation between height and points per game or height and rebounds per game?,numeric_comparison,comparison
